time,thscode,ths_chg_ratio_m_stock
2014-03-31,000503.SZ,-14.754098360656
2014-03-31,002310.SZ,-14.846353202518
2014-03-31,300017.SZ,-1.3333333333333
2014-03-31,000402.SZ,9.7826086956522
2014-03-31,000709.SZ,9.6590909090909
2014-03-31,601766.SH,8.1534772182254
2014-03-31,601633.SH,5.1149239235999
2014-03-31,600188.SH,-2.1374045801527
2014-03-31,000001.SZ,-3.2345013477089
2014-03-31,002146.SZ,42.445213379469
2014-03-31,601888.SH,-12.361623616236
2014-03-31,600383.SH,15.333333333333
2014-03-31,600498.SH,-8.7076710435384
2014-03-31,600085.SH,-5.8600108518719
2014-03-31,601998.SH,-12.144212523719
2014-03-31,600438.SH,-6.3249727371865
2014-03-31,601877.SH,-6.1326178612495
2014-03-31,000538.SZ,-2.2118742724098
2014-03-31,002202.SZ,-1.8808777429467
2014-03-31,601628.SH,-3.0324909747292
2014-03-31,600482.SH,-1.323918799647
2014-03-31,002601.SZ,-4.9941927990708
2014-03-31,601901.SH,-5.4290718038529
2014-03-31,002508.SZ,-1.2463768115942
2014-03-31,600019.SH,4.6195652173913
2014-03-31,600549.SH,11.874105865522
2014-03-31,000858.SZ,9.1683038637852
2014-03-31,600153.SH,-3.3082706766917
2014-03-31,600519.SH,3.1195840554593
2014-03-31,002085.SZ,-21.214574898785
2014-03-31,600297.SH,12.625538020086
2014-03-31,000333.SZ,15.767847971238
2014-03-31,600036.SH,-1.1077542799597
2014-03-31,601333.SH,-1.865671641791
2014-03-31,601991.SH,-5.3571428571429
2014-03-31,300024.SZ,-12.636207226152
2014-03-31,000415.SZ,-0.96618357487923
2014-03-31,600535.SH,-13.123885918004
2014-03-31,601992.SH,26.614481409002
2014-03-31,600362.SH,-4.3981481481482
2014-03-31,600820.SH,13.926940639269
2014-03-31,601808.SH,-11.776753712238
2014-03-31,601601.SH,-1.8023617153511
2014-03-31,600489.SH,-7.621247113164
2014-03-31,002555.SZ,-10.860927152318
2014-03-31,000728.SZ,-4.635761589404
2014-03-31,603288.SH,-5.864768683274
2014-03-31,600867.SH,-1.7624521072797
2014-03-31,002241.SZ,-6.9429298436932
