time,thscode,ths_eps_fore_org_num_consensus_stock,ths_fore_eps_median_consensus_stock,ths_fore_roe_median_consensus_stock,ths_fore_np_growth_consensus_stock,ths_np_growth_3y_consensus_stock,ths_rating_org_num_stock,ths_rating_upper_num_stock,ths_rating_lower_num_stock,ths_rating_keep_num_stock,ths_rating_buy_num_stock,ths_rating_in_held_num_stock,ths_rating_neutrality_num_stock,ths_rating_de_held_num_stock,ths_rating_sell_num_stock,ths_target_price_compre_value_stock
2014-01-30,601216.SH,2,0.2959,8.8,18.309935784989,,1,,,1,0,1,0,0,0,
2014-01-30,002450.SZ,18,1.1455,22.955,59.52781635674,,4,,,4,3,1,0,0,0,30
2014-01-30,600369.SH,17,0.2645,6.36,17.33127780817,2.9616507584382,7,,,7,2,4,1,0,0,11.94
2014-01-30,600038.SH,11,0.55,,29.382219459565,21.010627560852,7,,1,6,1,5,0,1,0,28.39
2014-01-30,600219.SH,5,0.4529,5.3,13.482309207691,20.121688013791,,,,,,,,,,
2014-01-30,300122.SZ,12,0.4475,12.26,233.44178957465,103.71657114554,4,,,4,0,4,0,0,0,
2014-01-30,601800.SH,10,0.87,12.8,16.024114626526,9.9067622320817,2,,,2,1,1,0,0,0,
2014-01-30,300124.SZ,18,0.8922,18.05,20.788565903675,21.165568933911,4,,,4,2,2,0,0,0,96
2014-01-30,000157.SZ,15,0.75,11.6,57.410779191233,26.164132378031,2,,,2,0,2,0,0,0,9.8
2014-01-30,002252.SZ,13,0.2259,20.15,94.727734068337,,3,1,,2,0,2,1,0,0,
2014-01-30,600023.SH,2,0.5263,,8.1982104216709,21.919595134794,,,,,,,,,,
2014-01-30,601018.SH,5,0.23,,4.5700079582509,8.0471368734055,3,,,3,0,1,2,0,0,
2014-01-30,002558.SZ,2,0.6645,,719.7301010882,,1,,,1,0,1,0,0,0,
2014-01-30,600028.SH,12,0.6638,13.2,20.711613882563,21.222303315801,9,,,9,8,1,0,0,0,6.73
2014-01-30,600068.SH,5,0.409,11.8,21.646782623408,14.06377751279,,,,,,,,,,
2014-01-30,600809.SH,24,1.78,28.025,64.035216392336,39.096750625271,8,,,8,4,4,0,0,0,
2014-01-30,601688.SH,17,0.517,7.33,32.501507702666,3.998222713609,4,,,4,2,2,0,0,0,
2014-01-30,000423.SZ,23,2.3256,23.4,26.765860967778,7.3313179132703,14,,,14,8,6,0,0,0,50.2
2014-01-30,601169.SH,22,1.5079,17.52,15.439344623067,7.451749269054,8,,,8,3,5,0,0,0,
